codigo municipio,id_provincia,nombre,slug,provincia,ccaa,lon,lat
1001,1,Alegría-Dulantzi,alegria-dulantzi,Araba/Álava,País Vasco,-2.5126835,42.8410353,
1002,1,Amurrio,amurrio,Araba/Álava,País Vasco,-3.0013109,43.0518654,
1049,1,Añana,anana,Araba/Álava,País Vasco,-2.9856812,42.8024433,
1003,1,Aramaio,aramaio,Araba/Álava,País Vasco,-2.564711,43.0521188,
1006,1,Armiñón,arminon,Araba/Álava,País Vasco,-2.8720511,42.7224033,
1037,1,Arraia-Maeztu,arraia-maeztu,Araba/Álava,País Vasco,-2.4462181,42.73945,
1008,1,Arratzua-Ubarrundia,arratzua-ubarrundia,Araba/Álava,País Vasco,-2.6090043,42.9412484,
1004,1,Artziniega,artziniega,Araba/Álava,País Vasco,-3.1294084,43.1205796,
1009,1,Asparrena,asparrena,Araba/Álava,País Vasco,-2.3123031,42.8892222,
1010,1,Ayala/Aiara,ayala-aiara,Araba/Álava,País Vasco,-3.0776568,43.0753042,
1011,1,Baños de Ebro/Mañueta,banos-de-ebro-manueta,Araba/Álava,País Vasco,-2.6789301,42.5295215,
1013,1,Barrundia,barrundia,Araba/Álava,País Vasco,-2.4695471,42.8897047,
1014,1,Berantevilla,berantevilla,Araba/Álava,País Vasco,-2.8583339,42.6824479,
1016,1,Bernedo,bernedo,Araba/Álava,País Vasco,-2.4981359,42.6272806,
1017,1,Campezo/Kanpezu,campezo-kanpezu,Araba/Álava,País Vasco,-2.3517526,42.6933238,
1021,1,Elburgo/Burgelu,elburgo-burgelu,Araba/Álava,País Vasco,-2.5452497,42.8496919,
1022,1,Elciego,elciego,Araba/Álava,País Vasco,-2.6185459,42.5149608,
1023,1,Elvillar/Bilar,elvillar-bilar,Araba/Álava,País Vasco,-2.5433183,42.5706068,
1046,1,Erriberagoitia/Ribera Alta,erriberagoitia-ribera-alta,Araba/Álava,País Vasco,-2.9175955,42.80724,
1056,1,Harana/Valle de Arana,harana-valle-de-arana,Araba/Álava,País Vasco,-2.3123031,42.7527315,
1901,1,Iruña Oka/Iruña de Oca,iruna-oka-iruna-de-oca,Araba/Álava,País Vasco,-2.8277963,42.8192346,
1027,1,Iruraiz-Gauna,iruraiz-gauna,Araba/Álava,País Vasco,-2.565825,42.8117467,
1019,1,Kripan,kripan,Araba/Álava,País Vasco,-2.5155009,42.5917953,
1020,1,Kuartango,kuartango,Araba/Álava,País Vasco,-2.9175955,42.8851727,
1028,1,Labastida/Bastida,labastida-bastida,Araba/Álava,País Vasco,-2.7956557,42.5899354,
1030,1,Lagrán,lagran,Araba/Álava,País Vasco,-2.5835865,42.6253912,
1031,1,Laguardia,laguardia,Araba/Álava,País Vasco,-2.5841047,42.5535069,
1032,1,Lanciego/Lantziego,lanciego-lantziego,Araba/Álava,País Vasco,-2.5116145,42.5625422,
1902,1,Lantarón,lantaron,Araba/Álava,País Vasco,-3.0029739,42.728003,
1033,1,Lapuebla de Labarca,lapuebla-de-labarca,Araba/Álava,País Vasco,-2.5731695,42.4947073,
1036,1,Laudio/Llodio,laudio-llodio,Araba/Álava,País Vasco,-2.9579897,43.1434506,
1058,1,Legutio,legutio,Araba/Álava,País Vasco,-2.6425841,42.9804724,
1034,1,Leza,leza,Araba/Álava,País Vasco,-2.6331952,42.5655215,
1039,1,Moreda de Álava/Moreda Araba,moreda-de-alava-moreda-araba,Araba/Álava,País Vasco,-2.4083391,42.525059,
1041,1,Navaridas,navaridas,Araba/Álava,País Vasco,-2.625389,42.5456912,
1042,1,Okondo,okondo,Araba/Álava,País Vasco,-3.0265434,43.1556707,
1043,1,Oyón-Oion,oyon-oion,Araba/Álava,País Vasco,-2.4357287,42.5046702,
1044,1,Peñacerrada-Urizaharra,penacerrada-urizaharra,Araba/Álava,País Vasco,-2.7134227,42.6441769,
1047,1,Ribera Baja/Erribera Beitia,ribera-baja-erribera-beitia,Araba/Álava,País Vasco,-2.9076094,42.7196776,
1051,1,Salvatierra/Agurain,salvatierra-agurain,Araba/Álava,País Vasco,-2.388785,42.8493348,
1052,1,Samaniego,samaniego,Araba/Álava,País Vasco,-2.6803724,42.5681042,
1053,1,San Millán/Donemiliaga,san-millan-donemiliaga,Araba/Álava,País Vasco,-2.3782756,42.8763933,
1054,1,Urkabustaiz,urkabustaiz,Araba/Álava,País Vasco,-2.9410935,42.9772904,
1055,1,Valdegovía/Gaubea,valdegovia-gaubea,Araba/Álava,País Vasco,-3.0776568,42.8420421,
1057,1,Villabuena de Álava/Eskuernaga,villabuena-de-alava-eskuernaga,Araba/Álava,País Vasco,-2.6654692,42.5476314,
1059,1,Vitoria-Gasteiz,vitoria-gasteiz,Araba/Álava,País Vasco,-2.6817918,42.8591656,
1060,1,Yécora/Iekora,yecora-iekora,Araba/Álava,País Vasco,-2.4715422,42.5672746,
1061,1,Zalduondo,zalduondo,Araba/Álava,País Vasco,-2.3462029,42.8854919,
1062,1,Zambrana,zambrana,Araba/Álava,País Vasco,-2.8814059,42.662933,
1018,1,Zigoitia,zigoitia,Araba/Álava,País Vasco,-2.7182728,42.96788,
1063,1,Zuia,zuia,Araba/Álava,País Vasco,-2.8377656,42.9649882,
2001,2,Abengibre,abengibre,Albacete,Castilla-La Mancha,-1.5414436,39.2105049,
2002,2,Alatoz,alatoz,Albacete,Castilla-La Mancha,-1.3619952,39.0950499,
2003,2,Albacete,albacete,Albacete,Castilla-La Mancha,-1.8585424,38.994349,
2004,2,Albatana,albatana,Albacete,Castilla-La Mancha,-1.5205598,38.5719998,
2005,2,Alborea,alborea,Albacete,Castilla-La Mancha,-1.3957728,39.279205,
2006,2,Alcadozo,alcadozo,Albacete,Castilla-La Mancha,-1.9802013,38.64874,
2007,2,Alcalá del Júcar,alcala-del-jucar,Albacete,Castilla-La Mancha,-1.4295773,39.191786,
2008,2,Alcaraz,alcaraz,Albacete,Castilla-La Mancha,-2.4907128,38.6665292,
2009,2,Almansa,almansa,Albacete,Castilla-La Mancha,-1.0993366,38.8702789,
2010,2,Alpera,alpera,Albacete,Castilla-La Mancha,-1.2301597,38.9590449,
2011,2,Ayna,ayna,Albacete,Castilla-La Mancha,-2.0717287,38.5537339,
2012,2,Balazote,balazote,Albacete,Castilla-La Mancha,-2.1522868,38.884867,
2014,2,"Ballestero, El",ballestero-el,Albacete,Castilla-La Mancha,-2.4801989,38.8570329,
2013,2,Balsa de Ves,balsa-de-ves,Albacete,Castilla-La Mancha,-1.1959141,39.264547,
2015,2,Barrax,barrax,Albacete,Castilla-La Mancha,-2.2014625,39.0445824,
2016,2,Bienservida,bienservida,Albacete,Castilla-La Mancha,-2.6108647,38.517072,
2017,2,Bogarra,bogarra,Albacete,Castilla-La Mancha,-2.2132142,38.5816548,
2018,2,Bonete,bonete,Albacete,Castilla-La Mancha,-1.3481301,38.8716007,
2019,2,"Bonillo, El",bonillo-el,Albacete,Castilla-La Mancha,-2.5383647,38.9510438,
2020,2,Carcelén,carcelen,Albacete,Castilla-La Mancha,-1.3089706,39.1021624,
2021,2,Casas de Juan Núñez,casas-de-juan-nunez,Albacete,Castilla-La Mancha,-1.5578697,39.100201,
2022,2,Casas de Lázaro,casas-de-lazaro,Albacete,Castilla-La Mancha,-2.2402728,38.7710402,
2023,2,Casas de Ves,casas-de-ves,Albacete,Castilla-La Mancha,-1.3330645,39.2578708,
2024,2,Casas-Ibáñez,casas-ibanez,Albacete,Castilla-La Mancha,-1.4712661,39.286714,
2025,2,Caudete,caudete,Albacete,Castilla-La Mancha,-0.9880419,38.7051649,
2026,2,Cenizate,cenizate,Albacete,Castilla-La Mancha,-1.6627091,39.3023107,
2029,2,Chinchilla de Monte-Aragón,chinchilla-de-monte-aragon,Albacete,Castilla-La Mancha,-1.7252937,38.9195312,
2027,2,Corral-Rubio,corral-rubio,Albacete,Castilla-La Mancha,-1.4597825,38.8343358,
2028,2,Cotillas,cotillas,Albacete,Castilla-La Mancha,-2.5058695,38.4310256,
2030,2,Elche de la Sierra,elche-de-la-sierra,Albacete,Castilla-La Mancha,-2.0481401,38.4500743,
2031,2,Férez,ferez,Albacete,Castilla-La Mancha,-2.0084208,38.3555477,
2032,2,Fuensanta,fuensanta,Albacete,Castilla-La Mancha,-2.0690225,39.2451555,
2033,2,Fuente-Álamo,fuente-alamo,Albacete,Castilla-La Mancha,-1.4325968,38.6927241,
2034,2,Fuentealbilla,fuentealbilla,Albacete,Castilla-La Mancha,-1.5511323,39.2675127,
2035,2,"Gineta, La",gineta-la,Albacete,Castilla-La Mancha,-2.000155,39.111665,
2036,2,Golosalvo,golosalvo,Albacete,Castilla-La Mancha,-1.635698,39.2394219,
2037,2,Hellín,hellin,Albacete,Castilla-La Mancha,-1.6979398,38.5068902,
2038,2,"Herrera, La",herrera-la,Albacete,Castilla-La Mancha,-2.1263536,38.9622956,
2039,2,Higueruela,higueruela,Albacete,Castilla-La Mancha,-1.4422609,38.9618433,
2040,2,Hoya-Gonzalo,hoya-gonzalo,Albacete,Castilla-La Mancha,-1.5565831,38.9584238,
2041,2,Jorquera,jorquera,Albacete,Castilla-La Mancha,-1.5214676,39.1750302,
2042,2,Letur,letur,Albacete,Castilla-La Mancha,-2.1014619,38.3656261,
2043,2,Lezuza,lezuza,Albacete,Castilla-La Mancha,-2.3554527,38.9496492,
2044,2,Liétor,lietor,Albacete,Castilla-La Mancha,-1.9532994,38.5416545,
2045,2,Madrigueras,madrigueras,Albacete,Castilla-La Mancha,-1.8001488,39.2366808,
2046,2,Mahora,mahora,Albacete,Castilla-La Mancha,-1.7259018,39.2131243,
2047,2,Masegoso,masegoso,Albacete,Castilla-La Mancha,-2.3163081,38.7182149,
2048,2,Minaya,minaya,Albacete,Castilla-La Mancha,-2.3209341,39.2710162,
2049,2,Molinicos,molinicos,Albacete,Castilla-La Mancha,-2.2405913,38.4663699,
2050,2,Montalvos,montalvos,Albacete,Castilla-La Mancha,-2.0276251,39.1657264,
2051,2,Montealegre del Castillo,montealegre-del-castillo,Albacete,Castilla-La Mancha,-1.3270397,38.7888493,
2052,2,Motilleja,motilleja,Albacete,Castilla-La Mancha,-1.7910132,39.1803118,
